Teste-or-6-minW-9-sigma-0.75: 0.664195 , interval: 0.013592
Teste-or-6-minW-9-sigma-0.65: 0.690899 , interval: 0.011154
Teste-or-6-minW-9-sigma-0.55: 0.619177 , interval: 0.013918
Teste-or-6-minW-10-sigma-0.85: 0.608826 , interval: 0.013002
Teste-or-6-minW-10-sigma-0.75: 0.657995 , interval: 0.012556
Teste-or-6-minW-10-sigma-0.65: 0.655476 , interval: 0.011646
Teste-or-6-minW-10-sigma-0.55: 0.618396 , interval: 0.013245

****************** Variando mult
Teste-or-6-mult-1.5-sigma-0.65: 0.607756 , interval: 0.016573
Teste-or-6-mult-1.7-sigma-0.65: 0.634409 , interval: 0.013766
Teste-or-6-mult-1.9-sigma-0.65: 0.680633 , interval: 0.012110
Teste-or-6-mult-2.3-sigma-0.65: 0.674825 , interval: 0.012463
Teste-or-6-mult-2.5-sigma-0.65: 0.622105 , interval: 0.012914
Teste-or-6-mult-2.7-sigma-0.65: 0.614966 , interval: 0.013834

***************** Variando Sigma
Teste-or-6-mult-2.1-sigma-0.59: 0.704678 , interval: 0.010861
Teste-or-6-mult-2.1-sigma-0.61: 0.713694 , interval: 0.011138
Teste-or-6-mult-2.1-sigma-0.63: 0.708681 , interval: 0.011140
Teste-or-6-mult-2.1-sigma-0.67: 0.712406 , interval: 0.011160
Teste-or-6-mult-2.1-sigma-0.69: 0.711711 , interval: 0.011605
Teste-or-6-mult-2.1-sigma-0.71: 0.707703 , interval: 0.012174

Teste-or-4-sigma-0.59-k-2: 0.736441 , interval: 0.010911
Teste-or-4-sigma-0.59-k-3: 0.736775 , interval: 0.010852
Teste-or-4-sigma-0.59-k-4: 0.740547 , interval: 0.010883
Teste-or-4-sigma-0.59-k-5: 0.744705 , interval: 0.010922
Teste-or-4-sigma-0.59-k-6: 0.745539 , interval: 0.010785
Teste-or-4-sigma-0.59-k-7: 0.748477 , interval: 0.010640
Teste-or-4-sigma-0.59-k-8: 0.753009 , interval: 0.010415
Teste-or-4-sigma-0.59-k-9: 0.754139 , interval: 0.010179

Teste-or-4-sigma-0.59-cutOff-0.1: 0.656362 , interval: 0.011348
Teste-or-4-sigma-0.59-cutOff-0.2: 0.690364 , interval: 0.011389
Teste-or-4-sigma-0.59-cutOff-0.3: 0.735066 , interval: 0.010310
Teste-or-4-sigma-0.59-cutOff-0.4: 0.754139 , interval: 0.010179
Teste-or-4-sigma-0.59-cutOff-0.5: 0.727944 , interval: 0.011928
Teste-or-4-sigma-0.59-cutOff-0.6: 0.571985 , interval: 0.013394
Teste-or-4-sigma-0.59-cutOff-0.7: 0.225607 , interval: 0.011748
Teste-or-4-sigma-0.59-cutOff-0.8: 0.011652 , interval: 0.003740
Teste-or-4-sigma-0.59-cutOff-0.9: 0.000000 , interval: 0.000000

Teste-or-4-sigma-0.59-g-2: 0.733254 , interval: 0.010120
